accession	description	tax_id
LC057783	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: NG3.	7291
LC057785	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: TOK5.	7291
LC057796	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: I7.	42062
LC057798	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: M22.	42062
LC057799	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: MS77.	42062
AF136682	Drosophila americana americana G96.47Y alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136688	Drosophila americana americana G96.33Y alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136694	Drosophila americana americana G96.11Y alcohol dehydrogenase (Adh) gene, partial cds.	95109
EF560573	Drosophila brncici pop-variant Bogota alcohol dehydrogenase (adh) gene, partial cds.	306027
AF136659	Drosophila americana americana G96.14X alcohol dehydrogenase (Adh) gene, partial cds.	95109
U76477	Drosophila hydei strain 9 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7224
U76473	Drosophila hydei strain 5 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7224
AF136676	Drosophila americana americana D.am-.1Y alcohol dehydrogenase (Adh) gene, partial cds.	95109
AY340288	Drosophila americana pop-variant NN00.03X alcohol dehydrogenase (Adh) gene, partial cds.	40366
AY340299	Drosophila americana pop-variant DN01.05Y alcohol dehydrogenase (Adh) gene, partial cds.	40366
AY340303	Drosophila americana pop-variant NN97.09Y alcohol dehydrogenase (Adh) gene, partial cds.	40366
AY340307	Drosophila americana pop-variant NN00.09Y alcohol dehydrogenase (Adh) gene, partial cds.	40366
AB932669	Drosophila putrida Adh gene for alcohol dehydrogenase, partial cds, strain: E-22401.	38840
AY340296	Drosophila americana pop-variant DN01.01Y alcohol dehydrogenase (Adh) gene, partial cds.	40366
EF560580	Drosophila pavani pop-variant La Florida alcohol dehydrogenase (adh) gene, partial cds.	306031
AF136651	Drosophila americana americana D.am-.1X alcohol dehydrogenase (Adh) gene, partial cds.	95109
AY340283	Drosophila americana pop-variant DN01.05X alcohol dehydrogenase (Adh) gene, partial cds.	40366
AF136654	Drosophila americana americana D.am-.3X alcohol dehydrogenase (Adh) gene, partial cds.	95109
AB932650	Drosophila cardini Adh gene for alcohol dehydrogenase, partial cds, strain: E-17701.	133981
AY695387	Drosophila caribiana alcohol dehydrogenase (Adh) gene, exons 1 through 3 and partial cds Adh-Adhr intergenic spacer, complete sequence and ADHR (Adhr) gene, exon 1 and partial cds.	133974
AY044128	Drosophila ruberrima alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	98362
AY044129	Drosophila neohypocausta alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	157057
AY154841	Drosophila arizonae strain ARTU 14 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7263
AY154858	Drosophila arizonae strain ARTU 14 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263
AB932645	Drosophila acutilabella Adh gene for alcohol dehydrogenase, partial cds, strain: 15181-2171.10.	133978
AY154840	Drosophila arizonae strain ARTU 10 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7263
AY154846	Drosophila arizonae strain ARTU 36 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7263
AY340289	Drosophila americana pop-variant NN00.04-8X alcohol dehydrogenase (Adh) gene, partial cds.	40366
AY044124	Drosophila kohkoa alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	88883
AY044125	Drosophila siamana alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	157059
AY154853	Drosophila arizonae strain AR00 4 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263
AB932647	Drosophila arawakana Adh gene for alcohol dehydrogenase, partial cds, strain: 15182-2261.03.	30017
AY154833	Drosophila mojavensis strain MJBC 95.1 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7230
AY154871	Drosophila mojavensis strain MJBC 103.3 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7230
AY154873	Drosophila mojavensis strain MJBC 115.4 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7230
AY165542	Drosophila novamexicana alcohol dehydrogenase (Adh) gene, exons 1, 2, and 3 and partial cds.	47314
AY154831	Drosophila mojavensis strain MJBC 47.3 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7230
AY154875	Drosophila mojavensis strain MJBC 202.2 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7230
EF136985	Drosophila americana isolate HI99.53 Adh (Adh) gene, partial cds.	40366
EF136990	Drosophila americana isolate SB02.06 Adh (Adh) gene, partial cds.	40366
EF136995	Drosophila americana isolate SB02.13 Adh (Adh) gene, partial cds.	40366
EF136999	Drosophila americana isolate IR04.03 Adh (Adh) gene, partial cds.	40366
EF136976	Drosophila americana isolate FP99.35 Adh (Adh) gene, partial cds.	40366
EF136984	Drosophila americana isolate HI99.11 Adh (Adh) gene, partial cds.	40366
EF136987	Drosophila americana isolate HI99.35 Adh (Adh) gene, partial cds.	40366
EF136988	Drosophila americana isolate HI99.45 Adh (Adh) gene, partial cds.	40366
EF136972	Drosophila americana isolate FP99.71 Adh (Adh) gene, partial cds.	40366
EF136975	Drosophila americana isolate FP99.91 Adh (Adh) gene, partial cds.	40366
EF136986	Drosophila americana isolate HI99.41 Adh (Adh) gene, partial cds.	40366
MN267958	Drosophila quinaria isolate Q ADH-related protein (ADH-R) gene, partial cds.	95624
MN268001	Drosophila subquinaria isolate S_SE_14 ADH-related protein (ADH-R) gene, partial cds.	198725
MN268004	Drosophila subquinaria isolate S_SH_1 ADH-related protein (ADH-R) gene, partial cds.	198725
MN267991	Drosophila subquinaria isolate S_KA_31 ADH-related protein (ADH-R) gene, partial cds.	198725
MN268002	Drosophila subquinaria isolate S_SE_22 ADH-related protein (ADH-R) gene, partial cds.	198725
MN267976	Drosophila recens isolate R_NB_8 ADH-related protein (ADH-R) gene, partial cds.	55946
MN267980	Drosophila subquinaria isolate S_CA_12 ADH-related protein (ADH-R) gene, partial cds.	198725
MN267981	Drosophila subquinaria isolate S_CA_9 ADH-related protein (ADH-R) gene, partial cds.	198725
MN268008	Drosophila transversa isolate T_UP_4 ADH-related protein (ADH-R) gene, partial cds.	193351
MN268011	Drosophila transversa isolate T_UP_7 ADH-related protein (ADH-R) gene, partial cds.	193351
MN267959	Drosophila suboccidentalis isolate SO ADH-related protein (ADH-R) gene, partial cds.	198723
MN267978	Drosophila recens isolate R_NY_10 ADH-related protein (ADH-R) gene, partial cds.	55946
Y13252	Drosophila funebris DpAdh, Adh, Adhr genes	7221
U77608	Drosophila buzzatii Adh-Finnegan gene, partial cds.	7264
U77610	Drosophila buzzatii Adh-Finnegan gene, partial cds.	7264
AY081438	Drosophila nannoptera alcohol dehydrogenase (Adh) gene, partial cds.	103845
AY750133	Drosophila gani alcohol dehydrogenase (Adh) gene, partial cds.	311479
MG684382	Drosophila rubida alcohol dehydrogenase (Adh) gene, partial cds.	30044
AY750121	Drosophila tsigana alcohol dehydrogenase (Adh) gene, partial cds.	65966
AY750125	Drosophila moriwakii alcohol dehydrogenase (Adh) gene, partial cds.	107829
AY750128	Drosophila tsigana alcohol dehydrogenase (Adh) gene, partial cds.	65966
JF710263	Drosophila kanekoi alcohol dehydrogenase (Adh) gene, complete cds.	50033
AF059890	Drosophila pinicola alcohol dehydrogenase (Adh) gene, partial cds.	7256
AY750122	Drosophila lacertosa alcohol dehydrogenase (Adh) gene, partial cds.	119604
AY750129	Drosophila yunnanensis alcohol dehydrogenase (Adh) gene, partial cds.	311475
AY750143	Drosophila medioconstricta alcohol dehydrogenase (Adh) gene, partial cds.	311480
DQ471664	Drosophila mercatorum alcohol dehydrogenase (Adh) gene, partial cds.	7253
U26843	Drosophila lummei alcohol dehydrogenase (Adh) gene, complete cds.	40371
OP168474	Drosophila bromelioides isolate Dbd_4610 Adh gene, partial cds.	3040703
AY750140	Drosophila unimaculata alcohol dehydrogenase (Adh) gene, partial cds.	311483
DQ471657	Drosophila aracataca alcohol dehydrogenase (Adh) gene, partial cds.	30016
X03630	Drosophila mojavensis duplicated Adh-2 gene fragment (alcohol dehydrogenase)	7230
AB261132	Drosophila ruberrima Adh gene for alcohol dehydrogenase, partial cds.	98362
AB932674	Drosophila sternopleuralis Adh gene for alcohol dehydrogenase, partial cds.	30046
AB033639	Drosophila sordidula Adh mRNA for alcohol dehydrogenase, partial cds.	55950
AB033640	Drosophila virilis Adh mRNA for alcohol dehydrogenase, partial cds.	7244
AB261133	Drosophila hypocausta Adh gene for alcohol dehydrogenase, partial cds.	157293
AB261138	Drosophila neonasuta Adh gene for alcohol dehydrogenase, partial cds.	154130
AB932653	Drosophila deflecta Adh gene for alcohol dehydrogenase, partial cds.	198716
AB932661	Drosophila macrospina Adh gene for alcohol dehydrogenase, partial cds.	434062
AB932671	Drosophila recens Adh gene for alcohol dehydrogenase, partial cds.	55946
AB932676	Drosophila tenebrosa Adh gene for alcohol dehydrogenase, partial cds.	614641
AB932652	Drosophila curvispina Adh gene for alcohol dehydrogenase, partial cds.	126591
U26845	Drosophila montana alcohol dehydrogenase (Adh-2) gene, complete cds.	40370
U76484	Drosophila hydei alcohol dehydrogenase (Adh-Finnegan) mRNA, partial cds.	7224
AY095939	Drosophila transversa isolate tra1 alcohol dehydrogenase (Adh) gene, partial cds.	193351
DQ471623	Drosophila daruma strain 151 alcohol dehydrogenase (Adh) gene, partial cds.	309936
DQ471645	Drosophila beppui strain 260 alcohol dehydrogenase (Adh) gene, partial cds.	381453
MK017207	UNVERIFIED: Drosophila innubila adh-related-like (Adhr) gene, partial sequence.	198719
DQ471652	Drosophila lacertosa strain 240 alcohol dehydrogenase (Adh) gene, partial cds.	119604
DQ471621	Drosophila daruma strain 137 alcohol dehydrogenase (Adh) gene, partial cds.	309936
DQ471638	Drosophila angor strain 33 alcohol dehydrogenase (Adh) gene, partial cds.	381448
JF710264	Drosophila borealis strain W alcohol dehydrogenase (Adh) gene, complete cds.	40368
MK017213	UNVERIFIED: Drosophila putrida adh-related-like (Adhr) gene, partial sequence.	38840
MK017221	UNVERIFIED: Drosophila testacea adh-related-like (Adhr) gene, partial sequence.	38838
MK017222	UNVERIFIED: Drosophila transversa adh-related-like (Adhr) gene, partial sequence.	193351
DQ471618	Drosophila daruma strain 109 alcohol dehydrogenase (Adh) gene, partial cds.	309936
DQ471620	Drosophila barutani strain 53 alcohol dehydrogenase (Adh) gene, partial cds.	381452
DQ471639	Drosophila barutani strain 52 alcohol dehydrogenase (Adh) gene, partial cds.	381452
DQ471649	Drosophila karakasa strain 249 alcohol dehydrogenase (Adh) gene, partial cds.	381466
MK017203	UNVERIFIED: Drosophila cardini adh-related-like (Adhr) gene, partial sequence.	133981
AY095946	Drosophila curvispina isolate cur1 alcohol dehydrogenase (Adh) gene, partial cds.	126591
AY095951	Drosophila phalerata isolate pha1 alcohol dehydrogenase (Adh) gene, partial cds.	7283
DQ471619	Drosophila asper strain 152 alcohol dehydrogenase (Adh) gene, partial cds.	381449
DQ471640	Drosophila medioconstricta strain 148 alcohol dehydrogenase (Adh) gene, partial cds.	311480
DQ471612	Drosophila angor strain A138 alcohol dehydrogenase (Adh) gene, partial cds.	381448
MK017215	UNVERIFIED: Drosophila recens adh-related-like (Adhr) gene, partial sequence.	55946
AY095940	Drosophila kuntzei isolate kun1 alcohol dehydrogenase (Adh) gene, partial cds.	42027
DQ471610	Drosophila lacertosa strain 170 alcohol dehydrogenase (Adh) gene, partial cds.	119604
DQ471616	Drosophila angor strain 112 alcohol dehydrogenase (Adh) gene, partial cds.	381448
MK017209	UNVERIFIED: Drosophila neotestacea adh-related-like (Adhr) gene, partial sequence.	38839
AF136658	Drosophila americana americana G96.40X alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136665	Drosophila americana americana G96.06X alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136674	Drosophila americana americana G96.10X alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136706	Drosophila americana texana LP97.09 alcohol dehydrogenase (Adh) gene, partial cds.	40372
LC057787	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: WL1.	7291
LC057795	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: G7.	42062
AF136672	Drosophila americana americana G96.13X alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136705	Drosophila americana texana LP97.02 alcohol dehydrogenase (Adh) gene, partial cds.	40372
LC057802	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: RE321.	42062
AF136670	Drosophila americana americana G96.38X alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136683	Drosophila americana americana G96.41Y alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136687	Drosophila americana americana G96.06Y alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136696	Drosophila americana americana G96.30Y alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136708	Drosophila americana texana LP97.04 alcohol dehydrogenase (Adh) gene, partial cds.	40372
LC057777	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: ISG243.	7291
LC057789	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: KM7.	7291
AF136686	Drosophila americana americana G96.27Y alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136675	Drosophila americana americana D.am-.9Y alcohol dehydrogenase (Adh) gene, partial cds.	95109
AY340305	Drosophila americana pop-variant NN00.05Y alcohol dehydrogenase (Adh) gene, partial cds.	40366
AY340301	Drosophila americana pop-variant NN97.04Y alcohol dehydrogenase (Adh) gene, partial cds.	40366
AY340287	Drosophila americana pop-variant NN97.09X alcohol dehydrogenase (Adh) gene, partial cds.	40366
AY340306	Drosophila americana pop-variant NN00.07Y alcohol dehydrogenase (Adh) gene, partial cds.	40366
U76478	Drosophila mulleri strain -1371.0 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7231
AY695383	Drosophila antillea alcohol dehydrogenase (Adh) gene, exons 1 through 3 and partial cds Adh-Adhr intergenic spacer, complete sequence and ADHR (Adhr) gene, exon 1 and partial cds.	133984
AY044127	Drosophila sulfurigaster alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	88886
AY154832	Drosophila mojavensis strain MJBC 80 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7230
AY154852	Drosophila arizonae strain AR00 2 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263
AY154856	Drosophila arizonae strain AR00 13 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263
AY154863	Drosophila arizonae strain ARTU 36 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263
AY044131	Drosophila hypocausta alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	157293
AB932651	Drosophila cardinoides Adh gene for alcohol dehydrogenase, partial cds, strain: 15181-2291.00.	134000
AB932663	Drosophila nigrodunni Adh gene for alcohol dehydrogenase, partial cds, strain: 15182-2311.00.	133975
AY154842	Drosophila arizonae strain ARTU 22 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7263
AY044123	Drosophila oritisa alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	157058
AB932654	Drosophila dunni Adh gene for alcohol dehydrogenase, partial cds, strain: 15182-2291.00.	133979
AY044121	Drosophila curviceps alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	157055
AY154835	Drosophila mojavensis strain MJBC 108.5 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7230
AY154867	Drosophila mojavensis strain MJBC 39.3 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7230
AF399012	Drosophila kuntzei alcohol dehydrogenase (Adh) and alcohol dehydrogenase-related protein (Adhr) genes, complete cds.	42027
AY154872	Drosophila mojavensis strain MJBC 108.5 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7230
AY154836	Drosophila mojavensis strain MJBC 115.4 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7230
AY154827	Drosophila mojavensis strain MJBC 25.3 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7230
EF136978	Drosophila americana isolate FP99.09 Adh (Adh) gene, partial cds.	40366
EF136993	Drosophila americana isolate SB02.09 Adh (Adh) gene, partial cds.	40366
EF136994	Drosophila americana isolate SB02.10 Adh (Adh) gene, partial cds.	40366
EF136997	Drosophila americana isolate SB02.17 Adh (Adh) gene, partial cds.	40366
EF137000	Drosophila americana isolate IR04.04 Adh (Adh) gene, partial cds.	40366
EF136971	Drosophila americana isolate FP99.29 Adh (Adh) gene, partial cds.	40366
EF136992	Drosophila americana isolate SB02.08 Adh (Adh) gene, partial cds.	40366
M97638	Drosophila immigrans alcohol dehydrogenase (Adh and Adh-dup) genes, complete cds.	7250
L26040	Drosophila mercatorum adh pseudogene.	7253
MN267961	Drosophila recens isolate R_CA_5 ADH-related protein (ADH-R) gene, partial cds.	55946
MN268005	Drosophila transversa isolate T_LA ADH-related protein (ADH-R) gene, partial cds.	193351
MN267966	Drosophila recens isolate R_HI_3 ADH-related protein (ADH-R) gene, partial cds.	55946
MN267973	Drosophila recens isolate R_NB_3 ADH-related protein (ADH-R) gene, partial cds.	55946
MN267992	Drosophila subquinaria isolate S_KA_85 ADH-related protein (ADH-R) gene, partial cds.	198725
MN267965	Drosophila recens isolate R_SM_28 ADH-related protein (ADH-R) gene, partial cds.	55946
MN267985	Drosophila subquinaria isolate S_HI_14 ADH-related protein (ADH-R) gene, partial cds.	198725
MN267964	Drosophila recens isolate R_SM_2 ADH-related protein (ADH-R) gene, partial cds.	55946
X66526	D.arizona Adh-1 promoter region	7263
AY750145	Drosophila bai alcohol dehydrogenase (Adh) gene, partial cds.	311478
DQ471660	Drosophila hydei alcohol dehydrogenase (Adh) gene, partial cds.	7224
AY750119	Drosophila tsigana alcohol dehydrogenase (Adh) gene, partial cds.	65966
AY750131	Drosophila yunnanensis alcohol dehydrogenase (Adh) gene, partial cds.	311475
DQ471631	Drosophila beppui alcohol dehydrogenase (Adh) gene, partial cds.	381453
AF059888	Drosophila funebris alcohol dehydrogenase (Adh) gene, partial cds.	7221
AY750137	Drosophila pseudosordidula alcohol dehydrogenase (Adh) gene, partial cds.	311482
AY750120	Drosophila tsigana alcohol dehydrogenase (Adh) gene, partial cds.	65966
AY750126	Drosophila polychaeta alcohol dehydrogenase (Adh) gene, partial cds.	30041
AY750141	Drosophila bai alcohol dehydrogenase (Adh) gene, partial cds.	311478
DQ471635	Drosophila quadrisetata alcohol dehydrogenase (Adh) gene, partial cds.	381471
DQ471637	Drosophila velox alcohol dehydrogenase (Adh) gene, partial cds.	381475
DQ471663	Drosophila lummei alcohol dehydrogenase (Adh) gene, partial cds.	40371
U26844	Drosophila texana alcohol dehydrogenase (Adh) gene, complete cds.	40372
U26841	Drosophila lacicola alcohol dehydrogenase (Adh) gene, complete cds.	40369
AB261139	Drosophila guttifera Adh gene for alcohol dehydrogenase, partial cds.	66368
AB932657	Drosophila ornatifrons Adh gene for alcohol dehydrogenase, partial cds.	30031
AB932665	Drosophila orientacea Adh gene for alcohol dehydrogenase, partial cds.	119223
AB932675	Drosophila subpalustris Adh gene for alcohol dehydrogenase, partial cds.	95625
AB033643	Drosophila funebris Adh mRNA for alcohol dehydrogenase, partial cds.	7221
AB932649	Drosophila brachynephros Adh gene for alcohol dehydrogenase, partial cds.	106246
U26846	Drosophila virilis alcohol dehydrogenase (Adh-1) gene, complete cds.	7244
U76468	Drosophila eohydei alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	54075
AB033641	Drosophila polychaeta Adh mRNA for alcohol dehydrogenase, partial cds.	30041
AB932656	Drosophila funebris Adh gene for alcohol dehydrogenase, partial cds.	7221
AB932658	Drosophila guttifera Adh gene for alcohol dehydrogenase, partial cds.	66368
AB932667	Drosophila phalerata Adh gene for alcohol dehydrogenase, partial cds.	7283
LC578831	Drosophila palustris Adh gene for alcohol dehydrogenase, partial cds.	95623
U26840	Drosophila lacicola alcohol dehydrogenase (Adh-2) gene, complete cds.	40369
AY095949	Drosophila phalerata isolate pha3 alcohol dehydrogenase (Adh) gene, partial cds.	7283
DQ471615	Drosophila angor strain E132 alcohol dehydrogenase (Adh) gene, partial cds.	381448
MK017217	UNVERIFIED: Drosophila subpalustris adh-related-like (Adhr) gene, partial sequence.	95625
MK017223	UNVERIFIED: Drosophila tripunctata adh-related-like (Adhr) gene, partial sequence.	141217
DQ471650	Drosophila yunnanensis strain 244 alcohol dehydrogenase (Adh) gene, partial cds.	311475
MK017200	UNVERIFIED: Drosophila acutilabella adh-related-like (Adhr) gene, partial sequence.	133978
MK017210	UNVERIFIED: Drosophila nigromaculata adh-related-like (Adhr) gene, partial sequence.	198721
MK017214	UNVERIFIED: Drosophila quinaria adh-related-like (Adhr) gene, partial sequence.	95624
AY095944	Drosophila curvispina isolate cur4 alcohol dehydrogenase (Adh) gene, partial cds.	126591
DQ471651	Drosophila lacertosa strain 239 alcohol dehydrogenase (Adh) gene, partial cds.	119604
M62851	D.wheeleri alcohol dehydrogenase-2 (ADH-2) gene, complete cds.	7277
MK017202	UNVERIFIED: Drosophila brachynephros adh-related-like (Adhr) gene, partial sequence.	106246
MK017211	UNVERIFIED: Drosophila occidentalis adh-related-like (Adhr) gene, partial sequence.	198722
MK017218	UNVERIFIED: Drosophila subquinaria adh-related-like (Adhr) gene, partial sequence.	198725
M62741	D.arizonae alcohol dehydrogenase-2 (ADH-2) gene, complete cds.	7263
DQ471626	Drosophila polychaeta strain X115 alcohol dehydrogenase (Adh) gene, partial cds.	30041
AF136657	Drosophila americana americana G96.36X alcohol dehydrogenase (Adh) gene, partial cds.	95109
LC057803	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: SS99.	42062
LC057804	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: TNR35.	42062
LC057779	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: KKU204.	7291
LC057797	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: K33.	42062
AF136662	Drosophila americana americana G96.46X alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136680	Drosophila americana americana G96.21Y alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136690	Drosophila americana americana G96.48Y alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136707	Drosophila americana texana LP97.07 alcohol dehydrogenase (Adh) gene, partial cds.	40372
EU999243	Drosophila americana isolate FP99.45 alcohol dehydrogenase (Adh) gene, partial cds.	40366
LC057801	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: NHO8.	42062
AF136685	Drosophila americana americana G96.36Y alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136691	Drosophila americana americana G96.10Y alcohol dehydrogenase (Adh) gene, partial cds.	95109
EF560578	Drosophila viracochi pop-variant Bogota alcohol dehydrogenase (adh) gene, partial cds.	306030
AF136669	Drosophila americana americana G96.27X alcohol dehydrogenase (Adh) gene, partial cds.	95109
U76472	Drosophila hydei strain 4 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7224
AF136679	Drosophila americana americana D.am-.0Y alcohol dehydrogenase (Adh) gene, partial cds.	95109
AY340282	Drosophila americana pop-variant DN01.02X alcohol dehydrogenase (Adh) gene, partial cds.	40366
AY340281	Drosophila americana pop-variant DN01.01X alcohol dehydrogenase (Adh) gene, partial cds.	40366
U76482	Drosophila mulleri strain -1371.19 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7231
AY695386	Drosophila cardini alcohol dehydrogenase (Adh) gene, exons 1 through 3 and partial cds Adh-Adhr intergenic spacer, complete sequence and ADHR (Adhr) gene, exon 1 and partial cds.	133981
AY154850	Drosophila arizonae strain AR00 14 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7263
AY154861	Drosophila arizonae strain ARTU 34 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263
AY044126	Drosophila albomicans alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	7291
AB932668	Drosophila polymorpha Adh gene for alcohol dehydrogenase, partial cds, strain: 15181-2231.00.	133991
AB932670	Drosophila quinaria Adh gene for alcohol dehydrogenase, partial cds, strain: E-17701-1.	95624
AY044122	Drosophila annulipes alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	157053
AY154847	Drosophila arizonae strain AR00 1 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7263
AY154855	Drosophila arizonae strain AR00 6 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263
AY154857	Drosophila arizonae strain AR00 14 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263
AY154860	Drosophila arizonae strain ARTU 24 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263
AY154869	Drosophila mojavensis strain MJBC 80 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7230
DQ471609	Drosophila cf. cheda BCW-2006 strain 241 alcohol dehydrogenase (Adh) gene, partial cds.	381457
AY154829	Drosophila mojavensis strain MJBC 35.1 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7230
AY154838	Drosophila mojavensis strain MJBC 202.2 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7230
AY154870	Drosophila mojavensis strain MJBC 95.1 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7230
AY165517	Drosophila americana alcohol dehydrogenase (Adh) gene, exons 1, 2, and 3 and partial cds.	40366
