accession	description	tax_id
LC057805	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: VNS23.	42062
U76470	Drosophila hydei strain 2 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7224
AF136656	Drosophila americana americana G96.03X alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136663	Drosophila americana americana G96.30X alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136673	Drosophila americana americana G96.45X alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136681	Drosophila americana americana G96.03Y alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136698	Drosophila americana americana G96.46Y alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136700	Drosophila americana texana LP97.03 alcohol dehydrogenase (Adh) gene, partial cds.	40372
AY695389	Drosophila dunni strain Puerto Rico alcohol dehydrogenase (Adh) mRNA, partial cds.	133979
U76476	Drosophila hydei strain 8 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7224
EF560577	Drosophila mesophragmatica pop-variant Bogota alcohol dehydrogenase (adh) gene, partial cds.	306029
U76474	Drosophila hydei strain 6 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7224
AF136677	Drosophila americana americana D.am-.6Y alcohol dehydrogenase (Adh) gene, partial cds.	95109
AY340302	Drosophila americana pop-variant NN97.08Y alcohol dehydrogenase (Adh) gene, partial cds.	40366
AY340278	Drosophila americana pop-variant DN00.01X alcohol dehydrogenase (Adh) gene, partial cds.	40366
AY340292	Drosophila americana pop-variant NN00.09X alcohol dehydrogenase (Adh) gene, partial cds.	40366
AY340294	Drosophila americana pop-variant DN00.02Y alcohol dehydrogenase (Adh) gene, partial cds.	40366
AF136678	Drosophila americana americana D.am-.3Y alcohol dehydrogenase (Adh) gene, partial cds.	95109
AY340295	Drosophila americana pop-variant DN00.04Y alcohol dehydrogenase (Adh) gene, partial cds.	40366
U76483	Drosophila mulleri strain -1371.22 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7231
AY340280	Drosophila americana pop-variant DN00.04X alcohol dehydrogenase (Adh) gene, partial cds.	40366
AY340284	Drosophila americana pop-variant NN97.02X alcohol dehydrogenase (Adh) gene, partial cds.	40366
AY340285	Drosophila americana pop-variant NN97.04X alcohol dehydrogenase (Adh) gene, partial cds.	40366
U76480	Drosophila mulleri strain -1371.16 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7231
AY695385	Drosophila belladunni alcohol dehydrogenase (Adh) gene, exons 1 through 3 and partial cds Adh-Adhr intergenic spacer, complete sequence and ADHR (Adhr) gene, exon 1 and partial cds.	133993
AY154844	Drosophila arizonae strain ARTU 34 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7263
AY154854	Drosophila arizonae strain AR00 5 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263
AB932673	Drosophila similis Adh gene for alcohol dehydrogenase, partial cds, strain: 15182-2321.00.	133976
AY154843	Drosophila arizonae strain ARTU 24 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7263
AY154845	Drosophila arizonae strain ARTU 35 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7263
EF560579	Drosophila gaucha pop-variant Campos do Jordao alcohol dehydrogenase (adh) gene, partial cds.	30028
AB932666	Drosophila parthenogenetica Adh gene for alcohol dehydrogenase, partial cds, strain: 15181-2221.00.	133990
X15585	Drosophila navojoa Adh-1 gene for alcohol dehydrogenase (EC 1.1.1.1)	7232
AY695382	Drosophila dunni alcohol dehydrogenase (adh) gene, exons 1 through 3 and partial cds Adh-Adhr intergenic spacer, complete sequence and ADHR (Adhr) gene, exons 1 through 3 and partial cds.	133979
AY154830	Drosophila mojavensis strain MJBC 39.3 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7230
AY154864	Drosophila mojavensis strain MJBC 25.3 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7230
AY154868	Drosophila mojavensis strain MJBC 47.3 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7230
AY154834	Drosophila mojavensis strain MJBC 103.3 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7230
AY154837	Drosophila mojavensis strain MJBC 157.3 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7230
AY154874	Drosophila mojavensis strain MJBC 157.3 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7230
AY154876	Drosophila mojavensis strain MJBC 205.1 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7230
X58694	D. hydei ADH-1 and ADH-2 genes for alcohol dehydrogenase and an ADH psi pseudogene	7224
EF137004	Drosophila americana isolate IR04.18 Adh (Adh) gene, partial cds.	40366
EF137007	Drosophila americana isolate IR04.96 Adh (Adh) gene, partial cds.	40366
EF136980	Drosophila americana isolate HI99.15 Adh (Adh) gene, partial cds.	40366
EF137001	Drosophila americana isolate IR04.10 Adh (Adh) gene, partial cds.	40366
EF136991	Drosophila americana isolate SB02.07 Adh (Adh) gene, partial cds.	40366
EF137003	Drosophila americana isolate IR04.15 Adh (Adh) gene, partial cds.	40366
EF136973	Drosophila americana isolate FP99.81 Adh (Adh) gene, partial cds.	40366
EF136981	Drosophila americana isolate HI99.21 Adh (Adh) gene, partial cds.	40366
MN268000	Drosophila subquinaria isolate S_SE_1 ADH-related protein (ADH-R) gene, partial cds.	198725
MN267972	Drosophila recens isolate R_KA_5 ADH-related protein (ADH-R) gene, partial cds.	55946
MN267994	Drosophila subquinaria isolate S_MS_2 ADH-related protein (ADH-R) gene, partial cds.	198725
MN267963	Drosophila recens isolate R_SM_18 ADH-related protein (ADH-R) gene, partial cds.	55946
MN267971	Drosophila recens isolate R_KA_196 ADH-related protein (ADH-R) gene, partial cds.	55946
MN267998	Drosophila subquinaria isolate S_PO_42 ADH-related protein (ADH-R) gene, partial cds.	198725
MN267984	Drosophila subquinaria isolate S_DE_5 ADH-related protein (ADH-R) gene, partial cds.	198725
MN268003	Drosophila subquinaria isolate S_SE_47 ADH-related protein (ADH-R) gene, partial cds.	198725
MN267960	Drosophila recens isolate R_CA_1 ADH-related protein (ADH-R) gene, partial cds.	55946
MN267967	Drosophila recens isolate R_HI_33 ADH-related protein (ADH-R) gene, partial cds.	55946
MN267982	Drosophila subquinaria isolate S_DE_1 ADH-related protein (ADH-R) gene, partial cds.	198725
MN268006	Drosophila transversa isolate T_UP_2 ADH-related protein (ADH-R) gene, partial cds.	193351
GQ376037	Drosophila repleta alcohol dehydrogenase (ADH) gene, partial cds.	30043
AY750138	Drosophila robusta alcohol dehydrogenase (Adh) gene, partial cds.	7257
EU490429	Drosophila endobranchia alcohol dehydrogenase (Adh) gene, partial cds.	508692
AY081441	Drosophila bromeliae alcohol dehydrogenase (Adh) gene, partial cds.	7278
AY081442	Drosophila polychaeta alcohol dehydrogenase (Adh) gene, partial cds.	30041
DQ471658	Drosophila ezoana alcohol dehydrogenase (Adh) gene, partial cds.	47313
DQ471668	Drosophila virilis alcohol dehydrogenase (Adh) gene, partial cds.	7244
AY750134	Drosophila gani alcohol dehydrogenase (Adh) gene, partial cds.	311479
AY750142	Drosophila gani alcohol dehydrogenase (Adh) gene, partial cds.	311479
AY081443	Drosophila ornatipennis alcohol dehydrogenase (Adh) gene, partial cds.	133996
AY081439	Drosophila ornatifrons alcohol dehydrogenase (Adh) gene, partial cds.	30031
U26837	Drosophila americana alcohol dehydrogenase (Adh) gene, complete cds.	40366
AB932677	Drosophila testacea Adh gene for alcohol dehydrogenase, partial cds.	38838
AB261137	Drosophila nasuta Adh gene for alcohol dehydrogenase, partial cds.	42062
AB932655	Drosophila falleni Adh gene for alcohol dehydrogenase, partial cds.	7279
AB932660	Drosophila innubila Adh gene for alcohol dehydrogenase, partial cds.	198719
DQ471611	Drosophila americana texana alcohol dehydrogenase (Adh) gene, partial cds.	40372
AB033642	Drosophila albomicans Adh mRNA for alcohol dehydrogenase, partial cds.	7291
AB261131	Drosophila formosana Adh gene for alcohol dehydrogenase, partial cds.	157056
AB932659	Drosophila histrio Adh gene for alcohol dehydrogenase, partial cds.	198718
AB261134	Drosophila neohypocausta Adh gene for alcohol dehydrogenase, partial cds.	157057
AB261140	Drosophila maculinotata Adh gene for alcohol dehydrogenase, partial cds.	387622
AY095942	Drosophila kuntzei isolate kun2 alcohol dehydrogenase (Adh) gene, partial cds.	42027
DQ471624	Drosophila multidentata strain 55 alcohol dehydrogenase (Adh) gene, partial cds.	381467
MK017212	UNVERIFIED: Drosophila phalerata adh-related-like (Adhr) gene, partial sequence.	7283
DQ471648	Drosophila barutani strain 245 alcohol dehydrogenase (Adh) gene, partial cds.	381452
